det,des,id,img_idx,ttc_lidar,ttc_camera,ttc_diff
AKAZE,AKAZE,399,4,16.6894,14.566,2.1234
AKAZE,AKAZE,400,5,15.7465,15.1947,0.551871
AKAZE,AKAZE,401,6,12.7835,12.2296,0.553888
AKAZE,AKAZE,402,7,11.9844,16.4293,-4.44494
AKAZE,AKAZE,403,8,13.1241,16.8211,-3.69695
AKAZE,AKAZE,404,9,13.0241,14.1213,-1.09715
AKAZE,AKAZE,405,10,11.1746,11.5325,-0.357827
AKAZE,AKAZE,406,11,12.8086,12.8687,-0.0601128
AKAZE,AKAZE,407,12,8.95978,10.3702,-1.41039
AKAZE,AKAZE,408,13,9.96439,10.1732,-0.208859
AKAZE,AKAZE,409,14,9.59863,10.3991,-0.800472
AKAZE,AKAZE,410,15,8.52157,9.26123,-0.739662
AKAZE,AKAZE,411,16,9.51552,10.0814,-0.565833
AKAZE,AKAZE,412,17,9.61241,9.44134,0.171075
AKAZE,AKAZE,413,18,8.3988,11.4123,-3.01353
AKAZE,SIFT,414,1,12.5156,27.5945,-15.0789
AKAZE,SIFT,415,2,12.6142,21.3343,-8.72006
AKAZE,SIFT,416,3,14.091,13.3836,0.70743
AKAZE,SIFT,417,4,16.6894,14.2454,2.44402
AKAZE,SIFT,418,5,15.7465,15.3351,0.411442
AKAZE,SIFT,419,6,12.7835,12.2886,0.494893
AKAZE,SIFT,420,7,11.9844,15.9576,-3.97327
AKAZE,SIFT,421,8,13.1241,17.7378,-4.61369
AKAZE,SIFT,422,9,13.0241,13.6213,-0.597204
AKAZE,SIFT,423,10,11.1746,16.1889,-5.01425
AKAZE,SIFT,424,11,12.8086,12.9058,-0.0972
AKAZE,SIFT,425,12,8.95978,10.6706,-1.71087
AKAZE,SIFT,426,13,9.96439,10.1428,-0.178375
AKAZE,SIFT,427,14,9.59863,10.4889,-0.890313
AKAZE,SIFT,428,15,8.52157,12.2083,-3.68668
AKAZE,SIFT,429,16,9.51552,10.0714,-0.555878
